SiteID,1566321,Site Timezone,-6,Data Timezone,-6,Longitude,-90.3634643555,Latitude,42.9575462341
Year,Month,Day,Hour,Minute,power - DEPRECATED,wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 100m (C),air pressure at 100m (Pa),density - DEPRECATED
2013,1,14,1,30,N/A,300.83,8.09,-13.14,96900,N/A
2013,1,14,2,30,N/A,299.21,7.42,-13.16,96970,N/A
2013,1,14,3,30,N/A,295.77,6.76,-13.19,97030,N/A
2013,1,14,4,30,N/A,289.44,5.7700000000000005,-13.24,97100,N/A
2013,1,14,5,30,N/A,285.05,5.93,-13.09,97160,N/A
2013,1,14,6,30,N/A,273.16,5.64,-13.24,97240,N/A
2013,1,14,7,30,N/A,268.16,5.98,-13.19,97300,N/A
2013,1,14,8,30,N/A,268.95,5.22,-13.07,97330,N/A
2013,1,14,9,30,N/A,264.93,3.43,-12.52,97360,N/A
2013,1,14,10,30,N/A,254.17000000000002,3.31,-11.47,97370,N/A
2013,1,14,11,30,N/A,252.82,4.1,-10.11,97360,N/A
2013,1,14,12,30,N/A,254.34,4.41,-9.05,97340,N/A
2013,1,14,13,30,N/A,255.37,4.7700000000000005,-8.1,97310,N/A
2013,1,14,14,30,N/A,251.87,4.99,-7.66,97280,N/A
2013,1,14,15,30,N/A,247.14000000000001,4.73,-7.5,97270,N/A
2013,1,14,16,30,N/A,240.98000000000002,5.09,-7.42,97280,N/A
2013,1,14,17,30,N/A,238.04,5.6000000000000005,-7.37,97290,N/A
2013,1,14,18,30,N/A,248.86,6.16,-7.44,97310,N/A
2013,1,14,19,30,N/A,239.47,5.89,-7.59,97310,N/A
2013,1,14,20,30,N/A,245.70000000000002,6.73,-7.5200000000000005,97320,N/A
2013,1,14,21,30,N/A,242.57,6.94,-7.54,97310,N/A
2013,1,14,22,30,N/A,238.62,6.74,-7.73,97290,N/A
2013,1,14,23,30,N/A,237.99,7.28,-8.040000000000001,97290,N/A
2013,1,15,0,30,N/A,241.44,7.5200000000000005,-8.27,97290,N/A
2013,1,15,1,30,N/A,242.1,7.11,-8.36,97300,N/A
2013,1,15,2,30,N/A,240.22,7.47,-8.45,97290,N/A
2013,1,15,3,30,N/A,240.29,7.29,-8.53,97250,N/A
2013,1,15,4,30,N/A,234.37,7.15,-8.68,97230,N/A
2013,1,15,5,30,N/A,231.93,7.2700000000000005,-8.51,97220,N/A
2013,1,15,6,30,N/A,228.96,7.82,-8.51,97200,N/A
2013,1,15,7,30,N/A,223.37,8.19,-8.56,97200,N/A
