SiteID,1745739,Site Timezone,-6,Data Timezone,0,Longitude,-87.6826171875,Latitude,35.2915306091
Year,Month,Day,Hour,Minute,power - DEPRECATED,wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 100m (C),air pressure at 100m (Pa),density - DEPRECATED
2014,1,10,22,30,N/A,162.42000000000002,10.870000000000001,8.6,96770,N/A
2014,1,10,23,30,N/A,171.92000000000002,13.49,9.01,96700,N/A
2014,1,11,0,30,N/A,174.28,13.66,9.43,96680,N/A
2014,1,11,1,30,N/A,175.89000000000001,13.76,9.75,96620,N/A
2014,1,11,2,30,N/A,172.87,14.950000000000001,10.33,96490,N/A
2014,1,11,3,30,N/A,169.94,15.16,10.78,96350,N/A
2014,1,11,4,30,N/A,173.49,16.01,10.94,96200,N/A
2014,1,11,5,30,N/A,188.18,15.42,11.450000000000001,96180,N/A
2014,1,11,6,30,N/A,172.21,12.48,12.17,95970,N/A
2014,1,11,7,30,N/A,257.41,11.84,10.53,96140,N/A
2014,1,11,8,30,N/A,258.8,9.92,10.42,96080,N/A
2014,1,11,9,30,N/A,264.93,9.35,10.68,96040,N/A
2014,1,11,10,30,N/A,265.08,6.66,10.42,96010,N/A
2014,1,11,11,30,N/A,243.66,9.89,10.41,96040,N/A
2014,1,11,12,30,N/A,254.85,11.51,9.93,96150,N/A
2014,1,11,13,30,N/A,260.36,10.66,9.32,96170,N/A
2014,1,11,14,30,N/A,264.28000000000003,10.01,9.17,96250,N/A
2014,1,11,15,30,N/A,265.23,9.31,9.31,96270,N/A
2014,1,11,16,30,N/A,277.02,9.9,8.950000000000001,96280,N/A
2014,1,11,17,30,N/A,269.11,9.23,9.18,96280,N/A
2014,1,11,18,30,N/A,273.7,10.74,8.71,96320,N/A
2014,1,11,19,30,N/A,276.77,11.56,8.370000000000001,96350,N/A
2014,1,11,20,30,N/A,277.92,10.790000000000001,8.16,96390,N/A
2014,1,11,21,30,N/A,289.26,8.91,8.08,96430,N/A
2014,1,11,22,30,N/A,283.82,9.13,7.7,96510,N/A
2014,1,11,23,30,N/A,287.99,9.51,7.22,96600,N/A
2014,1,12,0,30,N/A,283.74,9.21,7.09,96660,N/A
2014,1,12,1,30,N/A,279.51,8.870000000000001,7.07,96720,N/A
2014,1,12,2,30,N/A,276.8,9.06,6.99,96790,N/A
2014,1,12,3,30,N/A,283.41,9.69,6.67,96820,N/A
2014,1,12,4,30,N/A,283.96,8.71,6.47,96870,N/A
2014,1,12,5,30,N/A,289.09000000000003,8.65,6.59,96900,N/A
2014,1,12,6,30,N/A,271.61,6.67,6.13,96980,N/A
2014,1,12,7,30,N/A,278.53000000000003,7.73,5.92,97030,N/A
2014,1,12,8,30,N/A,283.32,7.41,5.5200000000000005,97050,N/A
2014,1,12,9,30,N/A,279.63,6.78,5.3100000000000005,97100,N/A
2014,1,12,10,30,N/A,286.05,6.05,5.15,97150,N/A
2014,1,12,11,30,N/A,280.48,5.33,5.17,97220,N/A
2014,1,12,12,30,N/A,279.07,4.19,5.29,97280,N/A
2014,1,12,13,30,N/A,267.61,4.3100000000000005,5.29,97300,N/A
2014,1,12,14,30,N/A,234.21,2.43,5.08,97330,N/A
2014,1,12,15,30,N/A,205.84,2.84,6.45,97330,N/A
2014,1,12,16,30,N/A,210.96,3.29,7.86,97270,N/A
2014,1,12,17,30,N/A,199.87,3.7600000000000002,9.11,97270,N/A
2014,1,12,18,30,N/A,192.31,4.76,10.02,97260,N/A
2014,1,12,19,30,N/A,189.95000000000002,5.89,10.48,97230,N/A
2014,1,12,20,30,N/A,185.67000000000002,7.42,10.82,97200,N/A
2014,1,12,21,30,N/A,187.15,8.5,10.98,97150,N/A
2014,1,12,22,30,N/A,183.97,9.28,10.8,97110,N/A
2014,1,12,23,30,N/A,183.88,10.94,10.42,97120,N/A
2014,1,13,0,30,N/A,182.51,11.72,10.34,97140,N/A
2014,1,13,1,30,N/A,180.44,11.47,9.68,97100,N/A
2014,1,13,2,30,N/A,181.54,12.86,9.68,97090,N/A
2014,1,13,3,30,N/A,178.46,13.14,9.43,97020,N/A
2014,1,13,4,30,N/A,180.70000000000002,12.68,9.42,96970,N/A
2014,1,13,5,30,N/A,180.72,12.47,9.32,96960,N/A
2014,1,13,6,30,N/A,189.4,14.120000000000001,9.53,96910,N/A
2014,1,13,7,30,N/A,192.06,13.74,9.81,96950,N/A
2014,1,13,8,30,N/A,182.54,12.6,9.47,96880,N/A
2014,1,13,9,30,N/A,177.58,10.85,9.1,96870,N/A
2014,1,13,10,30,N/A,195.06,11.43,9.24,96870,N/A
2014,1,13,11,30,N/A,209.55,13.14,6.890000000000001,96880,N/A
2014,1,13,12,30,N/A,201.41,13.55,7.0200000000000005,96950,N/A
2014,1,13,13,30,N/A,180.04,12.8,7.640000000000001,96830,N/A
2014,1,13,14,30,N/A,181.62,13.92,8.18,96770,N/A
2014,1,13,15,30,N/A,194.44,11.63,8.71,96750,N/A
2014,1,13,16,30,N/A,187.9,9.69,9.09,96640,N/A
2014,1,13,17,30,N/A,191.5,11.55,9.72,96570,N/A
2014,1,13,18,30,N/A,185.05,10.74,10.17,96460,N/A
2014,1,13,19,30,N/A,184.3,12.530000000000001,10.59,96410,N/A
2014,1,13,20,30,N/A,183.36,12.67,10.47,96350,N/A
2014,1,13,21,30,N/A,198.97,9.94,10.6,96350,N/A
2014,1,13,22,30,N/A,208.02,9.31,10.82,96360,N/A
2014,1,13,23,30,N/A,217.23000000000002,10.040000000000001,11.02,96350,N/A
2014,1,14,0,30,N/A,266.73,8.76,11.03,96350,N/A
2014,1,14,1,30,N/A,305.07,8.98,9.84,96410,N/A
2014,1,14,2,30,N/A,302.55,8.21,9.39,96440,N/A
2014,1,14,3,30,N/A,312.98,8.13,8.38,96490,N/A
2014,1,14,4,30,N/A,315.96,8.01,8.120000000000001,96490,N/A
2014,1,14,5,30,N/A,319.58,7.7700000000000005,7.640000000000001,96520,N/A
2014,1,14,6,30,N/A,318.94,7.38,7.11,96570,N/A
2014,1,14,7,30,N/A,321.67,7.7,6.63,96620,N/A
2014,1,14,8,30,N/A,323.26,6.58,6.29,96650,N/A
2014,1,14,9,30,N/A,317.5,6,5.98,96690,N/A
2014,1,14,10,30,N/A,313.74,5.44,5.76,96730,N/A
2014,1,14,11,30,N/A,285.04,3.73,5.74,96750,N/A
2014,1,14,12,30,N/A,275.16,4.54,5.96,96770,N/A
2014,1,14,13,30,N/A,254.12,4.22,6.15,96800,N/A
2014,1,14,14,30,N/A,241.61,4.54,6.45,96820,N/A
2014,1,14,15,30,N/A,230.74,4.7,7.4,96820,N/A
2014,1,14,16,30,N/A,232.68,5.18,8.58,96760,N/A
2014,1,14,17,30,N/A,232.93,6.66,9.64,96750,N/A
2014,1,14,18,30,N/A,234.58,7.0200000000000005,10.450000000000001,96750,N/A
2014,1,14,19,30,N/A,237.1,7.890000000000001,10.97,96740,N/A
2014,1,14,20,30,N/A,233.96,8.44,11.35,96740,N/A
2014,1,14,21,30,N/A,240.64000000000001,8.69,11.46,96740,N/A
2014,1,14,22,30,N/A,240.15,9,11.22,96770,N/A
2014,1,14,23,30,N/A,245.63,9.61,10.93,96800,N/A
2014,1,15,0,30,N/A,262.05,8.76,10.42,96840,N/A
2014,1,15,1,30,N/A,312.71,12.370000000000001,7.28,96920,N/A
2014,1,15,2,30,N/A,320.22,8.98,5.65,97010,N/A
2014,1,15,3,30,N/A,349.12,12.290000000000001,4.72,97010,N/A
2014,1,15,4,30,N/A,341.89,11.19,4.33,97050,N/A
2014,1,15,5,30,N/A,342.18,11.94,2.52,97080,N/A
2014,1,15,6,30,N/A,344.31,10.700000000000001,1.76,97130,N/A
2014,1,15,7,30,N/A,348.45,8.57,1.1500000000000001,97190,N/A
2014,1,15,8,30,N/A,333.82,11,0.66,97200,N/A
2014,1,15,9,30,N/A,330.85,8.75,0.19,97220,N/A
2014,1,15,10,30,N/A,335.56,8.790000000000001,-1.34,97260,N/A
2014,1,15,11,30,N/A,333.56,7.0600000000000005,-1.8,97280,N/A
2014,1,15,12,30,N/A,334.36,6.47,-2.07,97300,N/A
2014,1,15,13,30,N/A,329.71,5.66,-2.22,97330,N/A
2014,1,15,14,30,N/A,323.98,5.9,-2.35,97350,N/A
2014,1,15,15,30,N/A,310.90000000000003,6.79,-3,97360,N/A
2014,1,15,16,30,N/A,314.59000000000003,6.890000000000001,-2.93,97360,N/A
2014,1,15,17,30,N/A,316.51,6.34,-2.42,97360,N/A
2014,1,15,18,30,N/A,299.53000000000003,6.99,-2.31,97350,N/A
2014,1,15,19,30,N/A,320.18,6.5200000000000005,-2.06,97320,N/A
2014,1,15,20,30,N/A,307.25,6.79,-1.85,97300,N/A
2014,1,15,21,30,N/A,304.88,4.09,-1.49,97290,N/A
2014,1,15,22,30,N/A,304.57,6.36,-1.46,97310,N/A
2014,1,15,23,30,N/A,308.2,6.140000000000001,-1.58,97340,N/A
2014,1,16,0,30,N/A,310.22,6.6000000000000005,-2.2800000000000002,97360,N/A
2014,1,16,1,30,N/A,310.65000000000003,6.3500000000000005,-2.5100000000000002,97350,N/A
2014,1,16,2,30,N/A,311.40000000000003,5.45,-2.57,97360,N/A
2014,1,16,3,30,N/A,308.85,4.5,-2.65,97330,N/A
2014,1,16,4,30,N/A,300.51,3.7,-2.66,97280,N/A
2014,1,16,5,30,N/A,286.04,2.8000000000000003,-2.57,97260,N/A
2014,1,16,6,30,N/A,265.87,2.41,-2.49,97240,N/A
2014,1,16,7,30,N/A,240.02,2.54,-2.36,97220,N/A
2014,1,16,8,30,N/A,234.96,3.34,-2.23,97180,N/A
2014,1,16,9,30,N/A,224.35,4.26,-2.21,97160,N/A
